Experiment metadata		
transcriber	Jyoti Mangal	
organization	NCBS	
emailId	jyotim@instem.res.in	
exptSource	Paper	
citationId	PMID: 11925447	
authors	Bradshaw JM et al.	
journal	J Biol Chem, 2002	
		
		
		
Experiment context		
exptType	TimeSeries	
species	in vitro	
cell-types		
temperature (Celsius)	0	
Include pathway	Ca,CaM,CaMKII	
details	Fig 2B	
notes		
		
		
Stimuli		
timeUnits	sec	
quantityUnits	uM	
entities	CaM	
field	conc	
Data		
Time	Value	
0	10	
		
		
Readouts		
timeUnits	sec	
quantityUnits	ratio	
useXlog	FALSE	
useYlog	FALSE	
ratioReferenceTime	0	
ratioReferenceEntities	CaMKII	
ratioReferenceDose	0	
entities	CaMKII_thr286	
field	conc	
settleTime	0	
useNormalization	FALSE	
Data		
Time	Value	stderr
2	0.145	0.05
3	0.08	0.03
5	0.138	0.052
7	0.32	0.145
10	0.212	0.057
13	0.48	0.12
15	0.43	0.07
17	0.465	0.185
20	0.46	0.077
23	0.53	0.125
25	0.6	0.18
30	0.45	0.155
35	0.52	0.33
40	0.77	0.22
		
		
		
		
		
		
Model mapping		
modelSource	DOQCS	
fileName		
citationId		
citation		
authors		
modelSubset	all	
modelLookup	CaM:DEND/CaM/CaM,CaMKII_thr286:DEND/actCaMKII,CaMKII:DEND/CaMKII_BULK/CaMKII	
scoringFormula	abs((expt-sim)/(expt+sim+1e-9))	
itemstodelete	compartment_2,compartment_1,DEND/CaMKII_BULK/CaMKII_x2,DEND/PP2A,DEND/CaM/CaM_xchange,DEND/CaM/CaM_x2,DEND/Ca_activate_PKC,DEND/Ca_activate_Raf	
solver	Runge kutta method (gsl)	
notes		
parameterChange		
Object	parameter	Value
DEND/Ca	concInit	0.005
DEND/CaMKII_BULK/CaMKII	concInit	0.00046
